Country,Total_Cases,Total_Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Afghanistan,155540,7228.0,126459.0,21853.0,3884,180.0,764934.0,19102.0,40044373
Albania,175163,2777.0,165434.0,6952.0,60952,966.0,1240204.0,431558.0,2873784
Algeria,204695,5855.0,140319.0,58521.0,4563,131.0,230861.0,5146.0,44859760
Andorra,15307,130.0,15098.0,79.0,197706,1679.0,193595.0,2500484.0,77423
Angola,61580,1629.0,49977.0,9974.0,1802,48.0,1043451.0,30541.0,34165887
Antigua and Barbuda,3750,93.0,2667.0,990.0,37893,940.0,17674.0,178592.0,98963
Argentina,5266275,115491.0,5133692.0,17092.0,115173,2526.0,24252818.0,530409.0,45724788
Armenia,272957,5575.0,249158.0,18224.0,91895,1877.0,1811131.0,609744.0,2970314
Aruba,15645,170.0,15324.0,151.0,145745,1584.0,177885.0,1657134.0,107345
Australia,131415,1461.0,96234.0,33720.0,5078,56.0,40111465.0,1550072.0,25877157
Austria,762538,11106.0,731698.0,19734.0,84054,1224.0,90613959.0,9988338.0,9071976
Azerbaijan,492790,6677.0,473790.0,12323.0,48050,651.0,4958312.0,483466.0,10255753
Bahamas,21580,590.0,19683.0,1307.0,54216,1482.0,149289.0,375063.0,398037
Bahrain,275734,1390.0,273748.0,596.0,155193,782.0,6612314.0,3721649.0,1776716
Bangladesh,1562958,27699.0,1524467.0,10792.0,9371,166.0,9975389.0,59811.0,166782068
Barbados,11132,98.0,8935.0,2099.0,38676,340.0,342465.0,1189842.0,287824
Belarus,559715,4304.0,534256.0,21155.0,59258,456.0,8889332.0,941133.0,9445354
Belgium,1266562,25695.0,1181547.0,59320.0,108680,2205.0,20515224.0,1760359.0,11654000
Belize,22187,427.0,19182.0,2578.0,54537,1050.0,273692.0,672754.0,406823
Benin,24335,159.0,23257.0,919.0,1943,13.0,604310.0,48240.0,12527176
Bermuda,5501,89.0,4600.0,812.0,88749,1436.0,557923.0,9001081.0,61984
Bhutan,2613,3.0,2603.0,7.0,3340,4.0,1166806.0,1491235.0,782443
Bolivia,504121,18803.0,465574.0,19744.0,42449,1583.0,2445030.0,205880.0,11876001
Bosnia and Herzegovina,241227,10965.0,192218.0,38044.0,74115,3369.0,1253492.0,385127.0,3254747
Botswana,181251,2381.0,177526.0,1344.0,75143,987.0,1777500.0,736912.0,2412093
Brazil,21582738,601266.0,20694669.0,286803.0,100625,2803.0,63776166.0,297342.0,214487273
British Virgin Islands,2725,37.0,2649.0,39.0,89379,1214.0,82570.0,2708279.0,30488
